id,number,events_id,works_id,is_premiere,with_mls,plays_mls_keyboards,mls_instrument,sings_with_minus,sings_incomplete,is_first_after_break,is_poem,sings_mls_only,note
L2025-01-08_ballada,01,L2025-01-08,ballada,false,
L2025-01-08_chuzhaj2,02,L2025-01-08,chuzhaj2,false,
L2025-01-08_istorija,03,L2025-01-08,istorija,false,
L2025-01-08_romans2,04,L2025-01-08,romans2,false,
L2025-01-08_serenada,05,L2025-01-08,serenada,false,
L2025-01-08_ryba,06,L2025-01-08,ryba,false,
L2025-01-08_2001,07,L2025-01-08,2001,false,
L2025-01-08_dopoezda,08,L2025-01-08,dopoezda,false,
L2025-01-08_kuznechiki,09,L2025-01-08,kuznechiki,false,
L2025-01-08_chumka,10,L2025-01-08,chumka,false,
L2025-01-08_ubykagol,11,L2025-01-08,ubykagol,false,
L2025-01-08_shum,12,L2025-01-08,shum,false,
L2025-01-08_deja,13,L2025-01-08,deja,false,
L2025-01-08_krasnye,14,L2025-01-08,krasnye,false,
L2025-01-08_skolko,15,L2025-01-08,skolko,false,
L2025-01-08_adleucon,16,L2025-01-08,adleucon,false,
L2025-01-08_madlen,17,L2025-01-08,madlen,false,
L2025-01-08_esli,18,L2025-01-08,esli,false,
L2025-01-08_hrustal,19,L2025-01-08,hrustal,false,
L2025-01-08_zoosad,20,L2025-01-08,zoosad,false,
L2025-01-08_sharmans,21,L2025-01-08,sharmans,false,
L2025-01-08_udachny,22,L2025-01-08,udachny,false,
L2025-01-08_baltijsk,23,L2025-01-08,baltijsk,false,
L2025-01-08_totosego,24,L2025-01-08,totosego,false,
L2025-01-08_chepuxa,25,L2025-01-08,chepuxa,false,
L2025-01-08_nerazmen,26,L2025-01-08,nerazmen,false,
L2024-12-15_rusalka,01,L2024-12-15,rusalka,true,true,true,
L2024-12-15_burja,02,L2024-12-15,burja,false,true,true,
L2024-12-15_descensu,03,L2024-12-15,descensu,false,true,true,
L2024-12-15_brodjagi,04,L2024-12-15,brodjagi,false,true,true,
L2024-12-15_sentenci,05,L2024-12-15,sentenci,false,true,true,
L2024-12-15_aerodrom,06,L2024-12-15,aerodrom,false,true,true,
L2024-12-15_lunnaja,07,L2024-12-15,lunnaja,false,true,true,
L2024-12-15_cirkachk,08,L2024-12-15,cirkachk,false,true,true,
L2024-12-15_vpoxodny,09,L2024-12-15,vpoxodny,false,true,true,
L2024-12-15_switzerl,10,L2024-12-15,switzerl,false,true,true,
L2024-12-15_skolko,11,L2024-12-15,skolko,true,true,true,
L2024-12-15_posesche,12,L2024-12-15,posesche,false,true,true,
L2024-12-15_podzname,13,L2024-12-15,podzname,false,true,true,
L2024-12-15_kalejdos,14,L2024-12-15,kalejdos,false,true,true,,,,true,
L2024-12-15_spros,15,L2024-12-15,spros,false,true,true,
